term,language,canonical_title,priority,source
education work,en,Business studies and economics teacher secondary school,190,local_peso
education work,en,Chemistry lecturer,200,local_peso
education work,en,Chemistry teacher secondary school,210,local_peso
education work,en,Circus arts teacher,220,local_peso
education work,en,Classical languages lecturer,230,local_peso
education work,en,Classical languages teacher secondary school,240,local_peso
education work,en,Communications lecturer,250,local_peso
education work,en,Computer science lecturer,260,local_peso
education work,en,Dance teacher,270,local_peso
education work,en,Dentistry lecturer,280,local_peso
education work,en,Design and applied arts vocational teacher,290,local_peso
education work,en,Digital literacy teacher,300,local_peso
logistics work,en,Finished leather warehouse manager,50,local_peso
logistics work,en,Footwear factory warehouse operator,60,local_peso
logistics work,en,Intermodal logistics manager,70,local_peso
logistics work,en,Inventory coordinator,80,local_peso
logistics work,en,Leather goods warehouse operator,90,local_peso
logistics work,en,Logistics analyst,100,local_peso
logistics work,en,Logistics and distribution manager,110,local_peso
logistics work,en,Logistics engineer,120,local_peso
logistics work,en,Rail logistics coordinator,130,local_peso
logistics work,en,Raw materials warehouse specialist,140,local_peso
logistics work,en,Supply chain manager,150,local_peso
logistics work,en,Warehouse operators for clothing,160,local_peso
beauty work,en,Hairdresser assistant,60,local_peso
beauty work,en,Performance hairdresser,70,local_peso
household work,en,Amusement park cleaner,50,local_peso
household work,en,Building cleaner,60,local_peso
household work,en,Building exterior cleaner,70,local_peso
household work,en,Domestic butler,80,local_peso
household work,en,Drapery and carpet cleaner,90,local_peso
household work,en,Furniture cleaner,100,local_peso
household work,en,Laundry workers supervisor,110,local_peso
household work,en,Train cleaner,120,local_peso
household work,en,Vehicle cleaner,130,local_peso
household work,en,Window cleaner,140,local_peso
government work,en,Government planning inspector,60,local_peso
government work,en,Public administration manager,70,local_peso
BPO work,en,Call Center Agent,40,local_peso
BPO work,en,Call centre analyst,50,local_peso
BPO work,en,Call centre manager,60,local_peso
BPO work,en,Call centre quality auditor,70,local_peso
BPO work,en,Call centre supervisor,80,local_peso
BPO work,en,Contact centre manager,90,local_peso
BPO work,en,Contact centre supervisor,100,local_peso
BPO work,en,Customer contact centre information clerk,110,local_peso
finance work,en,Financial auditor,40,local_peso
finance work,en,ICT auditor manager,50,local_peso
finance work,en,IT auditor,60,local_peso
finance work,en,Night auditor,70,local_peso
finance work,en,Public finance accountant,80,local_peso
engineering work,en,Acoustical engineer,50,local_peso
engineering work,en,Aerodynamics engineer,60,local_peso
engineering work,en,Aerospace engineer,70,local_peso
engineering work,en,Aerospace engineering drafter,80,local_peso
engineering work,en,Aerospace engineering technician,90,local_peso
engineering work,en,Aircraft maintenance engineer,100,local_peso
engineering work,en,Airport planning engineer,110,local_peso
engineering work,en,Alternative fuels engineer,120,local_peso
engineering work,en,Application engineer,130,local_peso
engineering work,en,Architectural drafter,140,local_peso
engineering work,en,Artificial intelligence engineer,150,local_peso
engineering work,en,Automation engineer,160,local_peso
engineering work,en,Automation engineering technician,170,local_peso
engineering work,en,Automotive engineer,180,local_peso
engineering work,en,Automotive engineering drafter,190,local_peso
engineering work,en,Automotive engineering technician,200,local_peso
engineering work,en,Aviation ground systems engineer,210,local_peso
engineering work,en,Battery simulation engineer,220,local_peso
engineering work,en,Battery system engineer,230,local_peso
engineering work,en,Biochemical engineer,240,local_peso
engineering work,en,Bioengineer,250,local_peso
engineering work,en,Biomedical engineer,260,local_peso
engineering work,en,Calculation engineer,270,local_peso
engineering work,en,Chemical engineer,280,local_peso
engineering work,en,Chemical engineering technician,290,local_peso
engineering work,en,Civil engineering technician,300,local_peso
security work,en,Airport security officer,30,local_peso
security work,en,Bodyguard,40,local_peso
security work,en,Hospitality establishment security officer,50,local_peso
security work,en,Police officer,60,local_peso
human resources work,en,Recruitment consultant,40,local_peso
human resources work,en,Talent acquisition manager,50,local_peso
legal work,en,Corporate lawyer,20,local_peso
legal work,en,Lawyer linguist,30,local_peso
legal work,en,Legal assistant,40,local_peso
legal work,en,Tax compliance officer,50,local_peso
marketing work,en,Advertising assistant,40,local_peso
marketing work,en,Advertising copywriter,50,local_peso
marketing work,en,Advertising manager,60,local_peso
marketing work,en,Advertising media buyer,70,local_peso
marketing work,en,Advertising media planner,80,local_peso
marketing work,en,Advertising sales agent,90,local_peso
marketing work,en,Advertising specialist,100,local_peso
marketing work,en,Brand manager,110,local_peso
marketing work,en,Chief marketing officer,120,local_peso
marketing work,en,Marketing consultant,130,local_peso
marketing work,en,Public relations manager,140,local_peso
marketing work,en,Public relations officer,150,local_peso
creative work,en,3D animator,20,local_peso
creative work,en,Animation layout artist,30,local_peso
creative work,en,Animator,40,local_peso
creative work,en,Artistic coach,50,local_peso
creative work,en,Artistic director,60,local_peso
creative work,en,Artistic painter,70,local_peso
creative work,en,Body artist,80,local_peso
creative work,en,Book editor,90,local_peso
creative work,en,Broadcast news editor,100,local_peso
creative work,en,Circus artist,110,local_peso
creative work,en,Community artist,120,local_peso
creative work,en,Conceptual artist,130,local_peso
creative work,en,Copy editor,140,local_peso
creative work,en,Digital artist,150,local_peso
creative work,en,Drawing artist,160,local_peso
creative work,en,Editor-in-chief,170,local_peso
creative work,en,Editorial assistant,180,local_peso
creative work,en,Glass artist,190,local_peso
creative work,en,Magazine editor,200,local_peso
creative work,en,Medical writer,210,local_peso
creative work,en,Newspaper editor,220,local_peso
creative work,en,Performance artist,230,local_peso
creative work,en,Photographer,240,local_peso
banking work,en,Insurance agency manager,40,local_peso
banking work,en,Insurance broker,50,local_peso
banking work,en,Insurance claims handler,60,local_peso
banking work,en,Insurance claims manager,70,local_peso
banking work,en,Insurance clerk,80,local_peso
banking work,en,Insurance collector,90,local_peso
banking work,en,Insurance fraud investigator,100,local_peso
banking work,en,Insurance product manager,110,local_peso
banking work,en,Insurance rating analyst,120,local_peso
banking work,en,Insurance risk consultant,130,local_peso
banking work,en,Insurance underwriter,140,local_peso
banking work,en,Loan officer,150,local_peso
banking work,en,Property insurance underwriter,160,local_peso
real estate work,en,Real estate investor,20,local_peso
real estate work,en,Real estate leasing manager,30,local_peso
real estate work,en,Real estate manager,40,local_peso
real estate work,en,Real estate surveyor,50,local_peso
science work,en,Analytical chemist,10,local_peso
science work,en,Aquaculture biologist,20,local_peso
science work,en,Behavioural scientist,30,local_peso
science work,en,Biochemist,40,local_peso
science work,en,Biochemistry technician,50,local_peso
science work,en,Bioinformatics scientist,60,local_peso
science work,en,Biologist,70,local_peso
science work,en,Biomedical scientist,80,local_peso
science work,en,Biomedical scientist advanced,90,local_peso
science work,en,Biophysicist,100,local_peso
science work,en,Business economics researcher,110,local_peso
science work,en,Chemist,120,local_peso
science work,en,Chemistry technician,130,local_peso
science work,en,Clinical perfusion scientist,140,local_peso
science work,en,Communication scientist,150,local_peso
science work,en,Computer scientist,160,local_peso
science work,en,Conservation scientist,170,local_peso
science work,en,Cosmetic chemist,180,local_peso
science work,en,Data scientist,190,local_peso
science work,en,Educational researcher,200,local_peso
science work,en,Environmental scientist,210,local_peso
science work,en,Fragrance chemist,220,local_peso
science work,en,Geochemist,230,local_peso
science work,en,Geophysicist,240,local_peso
utilities work,en,Environmental education officer,10,local_peso
utilities work,en,Environmental engineer,20,local_peso
utilities work,en,Environmental expert,30,local_peso
utilities work,en,Environmental geologist,40,local_peso
utilities work,en,Environmental health inspector,50,local_peso
utilities work,en,Environmental mining engineer,60,local_peso
utilities work,en,Environmental policy officer,70,local_peso
utilities work,en,Environmental programme coordinator,80,local_peso
utilities work,en,Environmental protection manager,90,local_peso
utilities work,en,Environmental technician,100,local_peso
utilities work,en,Fossil-fuel power plant operator,110,local_peso
utilities work,en,Geothermal power plant operator,120,local_peso
utilities work,en,Health safety and environmental manager,130,local_peso
utilities work,en,Offshore renewable energy engineer,140,local_peso
utilities work,en,Offshore renewable energy plant operator,150,local_peso
utilities work,en,Offshore renewable energy technician,160,local_peso
utilities work,en,Power plant control room operator,170,local_peso
utilities work,en,Power plant manager,180,local_peso
utilities work,en,Renewable energy consultant,190,local_peso
utilities work,en,Renewable energy engineer,200,local_peso
utilities work,en,Solar power plant operator,210,local_peso
utilities work,en,Waste management officer,220,local_peso
utilities work,en,Waste management supervisor,230,local_peso
utilities work,en,Wastewater treatment operator,240,local_peso
utilities work,en,Wastewater treatment technician,250,local_peso
tourism work,en,Amusement and recreation attendant,20,local_peso
tourism work,en,Event manager,30,local_peso
tourism work,en,Recreation policy officer,40,local_peso
tourism work,en,Recreational facilities manager,50,local_peso
tourism work,en,Travel consultant,60,local_peso
social services work,en,Bereavement counsellor,20,local_peso
social services work,en,Child care social worker,30,local_peso
social services work,en,Child welfare worker,40,local_peso
social services work,en,Clinical social worker,50,local_peso
social services work,en,Community development officer,60,local_peso
social services work,en,Community development social worker,70,local_peso
social services work,en,Community social worker,80,local_peso
social services work,en,Consultant social worker,90,local_peso
social services work,en,Criminal justice social worker,100,local_peso
social services work,en,Crisis situation social worker,110,local_peso
social services work,en,Drug and alcohol addiction counsellor,120,local_peso
social services work,en,Educational counsellor,130,local_peso
social services work,en,Family planning counsellor,140,local_peso
social services work,en,Family social worker,150,local_peso
social services work,en,Gerontology social worker,160,local_peso
social services work,en,Hospital social worker,170,local_peso
social services work,en,Marriage counsellor,180,local_peso
social services work,en,Mental health social worker,190,local_peso
social services work,en,Migrant social worker,200,local_peso
social services work,en,Military welfare worker,210,local_peso
social services work,en,Palliative care social worker,220,local_peso
social services work,en,Sexual violence counsellor,230,local_peso
social services work,en,Social counsellor,240,local_peso
management work,en,Business manager,10,local_peso
management work,en,Clothing operations manager,20,local_peso
management work,en,EBusiness manager,30,local_peso
management work,en,ICT operations manager,40,local_peso
management work,en,ICT project manager,50,local_peso
management work,en,Inland water transport general manager,60,local_peso
management work,en,Leather finishing operations manager,70,local_peso
management work,en,Maritime water transport general manager,80,local_peso
management work,en,Operations manager,90,local_peso
management work,en,Project manager,100,local_peso
management work,en,Rail operations manager,110,local_peso
management work,en,Road operations manager,120,local_peso
management work,en,Social entrepreneur,130,local_peso
management work,en,Textile operations manager,140,local_peso
